# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
9.00110e-02 1.32000e+01 3.35075e+01
9.00110e-02 1.34000e+01 3.35008e+01
9.00110e-02 1.36000e+01 3.34903e+01
9.00110e-02 1.38000e+01 3.34763e+01
9.00110e-02 1.40000e+01 3.34556e+01
9.00110e-02 1.42000e+01 3.34253e+01
9.00110e-02 1.44000e+01 3.33831e+01
9.00110e-02 1.46000e+01 3.33225e+01
9.00110e-02 1.48000e+01 3.32389e+01
9.00110e-02 1.50000e+01 3.31180e+01
9.00110e-02 1.52000e+01 3.29481e+01
9.00110e-02 1.54000e+01 3.27022e+01
9.00110e-02 1.56000e+01 3.23440e+01
9.00110e-02 1.58000e+01 3.18185e+01
9.00110e-02 1.60000e+01 3.10467e+01
9.00110e-02 1.62000e+01 2.99459e+01
9.00110e-02 1.64000e+01 2.86019e+01
9.00110e-02 1.66000e+01 2.75682e+01
9.00110e-02 1.68000e+01 2.66143e+01
9.00110e-02 1.70000e+01 2.54678e+01
9.00110e-02 1.72000e+01 2.40346e+01
9.00110e-02 1.74000e+01 2.22096e+01
9.00110e-02 1.76000e+01 1.98184e+01
9.00110e-02 1.78000e+01 1.65144e+01
9.00110e-02 1.80000e+01 1.16689e+01
9.00110e-02 1.82000e+01 4.27669e+00
9.00110e-02 1.84000e+01 -7.23643e+00
9.00110e-02 1.86000e+01 -2.52115e+01
9.00110e-02 1.88000e+01 -5.36202e+01
9.00110e-02 1.90000e+01 -9.84943e+01
9.00110e-02 1.92000e+01 -3.00000e+02
9.00110e-02 1.94000e+01 -3.00000e+02
9.00110e-02 1.96000e+01 -3.00000e+02
9.00110e-02 1.98000e+01 -3.00000e+02
9.00110e-02 2.00000e+01 -3.00000e+02
1.20014e-01 1.20000e+01 3.36784e+01
1.20014e-01 1.22000e+01 3.36779e+01
1.20014e-01 1.24000e+01 3.36770e+01
1.20014e-01 1.26000e+01 3.36755e+01
1.20014e-01 1.28000e+01 3.36735e+01
1.20014e-01 1.30000e+01 3.36694e+01
1.20014e-01 1.32000e+01 3.36641e+01
1.20014e-01 1.34000e+01 3.36564e+01
1.20014e-01 1.36000e+01 3.36448e+01
1.20014e-01 1.38000e+01 3.36281e+01
1.20014e-01 1.40000e+01 3.36037e+01
1.20014e-01 1.42000e+01 3.35676e+01
1.20014e-01 1.44000e+01 3.35177e+01
1.20014e-01 1.46000e+01 3.34474e+01
1.20014e-01 1.48000e+01 3.33459e+01
1.20014e-01 1.50000e+01 3.31909e+01
1.20014e-01 1.52000e+01 3.29853e+01
1.20014e-01 1.54000e+01 3.26877e+01
1.20014e-01 1.56000e+01 3.22555e+01
1.20014e-01 1.58000e+01 3.16133e+01
1.20014e-01 1.60000e+01 3.06816e+01
1.20014e-01 1.62000e+01 2.94311e+01
1.20014e-01 1.64000e+01 2.82430e+01
1.20014e-01 1.66000e+01 2.73211e+01
1.20014e-01 1.68000e+01 2.62869e+01
1.20014e-01 1.70000e+01 2.50101e+01
1.20014e-01 1.72000e+01 2.33974e+01
1.20014e-01 1.74000e+01 2.13191e+01
1.20014e-01 1.76000e+01 1.85298e+01
1.20014e-01 1.78000e+01 1.45529e+01
1.20014e-01 1.80000e+01 8.58567e+00
1.20014e-01 1.82000e+01 -6.23105e-01
1.20014e-01 1.84000e+01 -1.49777e+01
1.20014e-01 1.86000e+01 -3.76142e+01
1.20014e-01 1.88000e+01 -7.33269e+01
1.20014e-01 1.90000e+01 -3.00000e+02
1.20014e-01 1.92000e+01 -3.00000e+02
1.20014e-01 1.94000e+01 -3.00000e+02
1.20014e-01 1.96000e+01 -3.00000e+02
1.20014e-01 1.98000e+01 -3.00000e+02
1.20014e-01 2.00000e+01 -3.00000e+02
1.49988e-01 1.20000e+01 3.38254e+01
1.49988e-01 1.22000e+01 3.38249e+01
1.49988e-01 1.24000e+01 3.38238e+01
1.49988e-01 1.26000e+01 3.38218e+01
1.49988e-01 1.28000e+01 3.38194e+01
1.49988e-01 1.30000e+01 3.38151e+01
1.49988e-01 1.32000e+01 3.38090e+01
1.49988e-01 1.34000e+01 3.37993e+01
1.49988e-01 1.36000e+01 3.37854e+01
1.49988e-01 1.38000e+01 3.37660e+01
1.49988e-01 1.40000e+01 3.37372e+01
1.49988e-01 1.42000e+01 3.36946e+01
1.49988e-01 1.44000e+01 3.36370e+01
1.49988e-01 1.46000e+01 3.35562e+01
1.49988e-01 1.48000e+01 3.34377e+01
1.49988e-01 1.50000e+01 3.32685e+01
1.49988e-01 1.52000e+01 3.30226e+01
1.49988e-01 1.54000e+01 3.26651e+01
1.49988e-01 1.56000e+01 3.21447e+01
1.49988e-01 1.58000e+01 3.13844e+01
1.49988e-01 1.60000e+01 3.03138e+01
1.49988e-01 1.62000e+01 2.90731e+01
1.49988e-01 1.64000e+01 2.80560e+01
1.49988e-01 1.66000e+01 2.71056e+01
1.49988e-01 1.68000e+01 2.59806e+01
1.49988e-01 1.70000e+01 2.45743e+01
1.49988e-01 1.72000e+01 2.27839e+01
1.49988e-01 1.74000e+01 2.04434e+01
1.49988e-01 1.76000e+01 1.72229e+01
1.49988e-01 1.78000e+01 1.25171e+01
1.49988e-01 1.80000e+01 5.35270e+00
1.49988e-01 1.82000e+01 -5.77840e+00
1.49988e-01 1.84000e+01 -2.31921e+01
1.49988e-01 1.86000e+01 -5.06821e+01
1.49988e-01 1.88000e+01 -9.40978e+01
1.49988e-01 1.90000e+01 -3.00000e+02
1.49988e-01 1.92000e+01 -3.00000e+02
1.49988e-01 1.94000e+01 -3.00000e+02
1.49988e-01 1.96000e+01 -3.00000e+02
1.49988e-01 1.98000e+01 -3.00000e+02
1.49988e-01 2.00000e+01 -3.00000e+02
1.80011e-01 1.20000e+01 3.39615e+01
1.80011e-01 1.22000e+01 3.39608e+01
1.80011e-01 1.24000e+01 3.39596e+01
1.80011e-01 1.26000e+01 3.39577e+01
1.80011e-01 1.28000e+01 3.39545e+01
1.80011e-01 1.30000e+01 3.39501e+01
1.80011e-01 1.32000e+01 3.39443e+01
1.80011e-01 1.34000e+01 3.39336e+01
1.80011e-01 1.36000e+01 3.39183e+01
1.80011e-01 1.38000e+01 3.38937e+01
1.80011e-01 1.40000e+01 3.38607e+01
1.80011e-01 1.42000e+01 3.38151e+01
1.80011e-01 1.44000e+01 3.37466e+01
1.80011e-01 1.46000e+01 3.36516e+01
1.80011e-01 1.48000e+01 3.35142e+01
1.80011e-01 1.50000e+01 3.33172e+01
1.80011e-01 1.52000e+01 3.30295e+01
1.80011e-01 1.54000e+01 3.26159e+01
1.80011e-01 1.56000e+01 3.20092e+01
1.80011e-01 1.58000e+01 3.11370e+01
1.80011e-01 1.60000e+01 2.99742e+01
1.80011e-01 1.62000e+01 2.88227e+01
1.80011e-01 1.64000e+01 2.78962e+01
1.80011e-01 1.66000e+01 2.68959e+01
1.80011e-01 1.68000e+01 2.56743e+01
1.80011e-01 1.70000e+01 2.41350e+01
1.80011e-01 1.72000e+01 2.21591e+01
1.80011e-01 1.74000e+01 1.95319e+01
1.80011e-01 1.76000e+01 1.58288e+01
1.80011e-01 1.78000e+01 1.03152e+01
1.80011e-01 1.80000e+01 1.83862e+00
1.80011e-01 1.82000e+01 -1.13493e+01
1.80011e-01 1.84000e+01 -3.21334e+01
1.80011e-01 1.86000e+01 -6.49070e+01
1.80011e-01 1.88000e+01 -3.00000e+02
1.80011e-01 1.90000e+01 -3.00000e+02
1.80011e-01 1.92000e+01 -3.00000e+02
1.80011e-01 1.94000e+01 -3.00000e+02
1.80011e-01 1.96000e+01 -3.00000e+02
