# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
9.00110e-02 1.32000e+01 2.52822e+01
9.00110e-02 1.34000e+01 2.52822e+01
9.00110e-02 1.36000e+01 2.52822e+01
9.00110e-02 1.38000e+01 2.52822e+01
9.00110e-02 1.40000e+01 2.52822e+01
9.00110e-02 1.42000e+01 2.52822e+01
9.00110e-02 1.44000e+01 2.52822e+01
9.00110e-02 1.46000e+01 2.52822e+01
9.00110e-02 1.48000e+01 2.52822e+01
9.00110e-02 1.50000e+01 2.52822e+01
9.00110e-02 1.52000e+01 2.52821e+01
9.00110e-02 1.54000e+01 2.52820e+01
9.00110e-02 1.56000e+01 2.52819e+01
9.00110e-02 1.58000e+01 2.52817e+01
9.00110e-02 1.60000e+01 2.52814e+01
9.00110e-02 1.62000e+01 2.52808e+01
9.00110e-02 1.64000e+01 2.52802e+01
9.00110e-02 1.66000e+01 2.52817e+01
9.00110e-02 1.68000e+01 2.52794e+01
9.00110e-02 1.70000e+01 2.52769e+01
9.00110e-02 1.72000e+01 2.52724e+01
9.00110e-02 1.74000e+01 2.52641e+01
9.00110e-02 1.76000e+01 2.52538e+01
9.00110e-02 1.78000e+01 2.52374e+01
9.00110e-02 1.80000e+01 2.52170e+01
9.00110e-02 1.82000e+01 2.51855e+01
9.00110e-02 1.84000e+01 2.51407e+01
9.00110e-02 1.86000e+01 2.50777e+01
9.00110e-02 1.88000e+01 2.49879e+01
9.00110e-02 1.90000e+01 2.48712e+01
9.00110e-02 1.92000e+01 2.47043e+01
9.00110e-02 1.94000e+01 2.44653e+01
9.00110e-02 1.96000e+01 2.41216e+01
9.00110e-02 1.98000e+01 2.36182e+01
9.00110e-02 2.00000e+01 2.28892e+01
1.20014e-01 1.20000e+01 2.54404e+01
1.20014e-01 1.22000e+01 2.54404e+01
1.20014e-01 1.24000e+01 2.54404e+01
1.20014e-01 1.26000e+01 2.54404e+01
1.20014e-01 1.28000e+01 2.54404e+01
1.20014e-01 1.30000e+01 2.54404e+01
1.20014e-01 1.32000e+01 2.54404e+01
1.20014e-01 1.34000e+01 2.54404e+01
1.20014e-01 1.36000e+01 2.54404e+01
1.20014e-01 1.38000e+01 2.54404e+01
1.20014e-01 1.40000e+01 2.54404e+01
1.20014e-01 1.42000e+01 2.54404e+01
1.20014e-01 1.44000e+01 2.54404e+01
1.20014e-01 1.46000e+01 2.54404e+01
1.20014e-01 1.48000e+01 2.54404e+01
1.20014e-01 1.50000e+01 2.54403e+01
1.20014e-01 1.52000e+01 2.54403e+01
1.20014e-01 1.54000e+01 2.54402e+01
1.20014e-01 1.56000e+01 2.54400e+01
1.20014e-01 1.58000e+01 2.54398e+01
1.20014e-01 1.60000e+01 2.54394e+01
1.20014e-01 1.62000e+01 2.54388e+01
1.20014e-01 1.64000e+01 2.54379e+01
1.20014e-01 1.66000e+01 2.54363e+01
1.20014e-01 1.68000e+01 2.54348e+01
1.20014e-01 1.70000e+01 2.54312e+01
1.20014e-01 1.72000e+01 2.54256e+01
1.20014e-01 1.74000e+01 2.54172e+01
1.20014e-01 1.76000e+01 2.54049e+01
1.20014e-01 1.78000e+01 2.53870e+01
1.20014e-01 1.80000e+01 2.53616e+01
1.20014e-01 1.82000e+01 2.53241e+01
1.20014e-01 1.84000e+01 2.52736e+01
1.20014e-01 1.86000e+01 2.51998e+01
1.20014e-01 1.88000e+01 2.50982e+01
1.20014e-01 1.90000e+01 2.49524e+01
1.20014e-01 1.92000e+01 2.47511e+01
1.20014e-01 1.94000e+01 2.44612e+01
1.20014e-01 1.96000e+01 2.40408e+01
1.20014e-01 1.98000e+01 2.34288e+01
1.20014e-01 2.00000e+01 2.25558e+01
1.49988e-01 1.20000e+01 2.55929e+01
1.49988e-01 1.22000e+01 2.55929e+01
1.49988e-01 1.24000e+01 2.55929e+01
1.49988e-01 1.26000e+01 2.55929e+01
1.49988e-01 1.28000e+01 2.55929e+01
1.49988e-01 1.30000e+01 2.55929e+01
1.49988e-01 1.32000e+01 2.55929e+01
1.49988e-01 1.34000e+01 2.55929e+01
1.49988e-01 1.36000e+01 2.55929e+01
1.49988e-01 1.38000e+01 2.55929e+01
1.49988e-01 1.40000e+01 2.55929e+01
1.49988e-01 1.42000e+01 2.55929e+01
1.49988e-01 1.44000e+01 2.55929e+01
1.49988e-01 1.46000e+01 2.55929e+01
1.49988e-01 1.48000e+01 2.55928e+01
1.49988e-01 1.50000e+01 2.55928e+01
1.49988e-01 1.52000e+01 2.55927e+01
1.49988e-01 1.54000e+01 2.55926e+01
1.49988e-01 1.56000e+01 2.55924e+01
1.49988e-01 1.58000e+01 2.55921e+01
1.49988e-01 1.60000e+01 2.55923e+01
1.49988e-01 1.62000e+01 2.55915e+01
1.49988e-01 1.64000e+01 2.55896e+01
1.49988e-01 1.66000e+01 2.55875e+01
1.49988e-01 1.68000e+01 2.55862e+01
1.49988e-01 1.70000e+01 2.55844e+01
1.49988e-01 1.72000e+01 2.55751e+01
1.49988e-01 1.74000e+01 2.55642e+01
1.49988e-01 1.76000e+01 2.55501e+01
1.49988e-01 1.78000e+01 2.55288e+01
1.49988e-01 1.80000e+01 2.54989e+01
1.49988e-01 1.82000e+01 2.54551e+01
1.49988e-01 1.84000e+01 2.53958e+01
1.49988e-01 1.86000e+01 2.53070e+01
1.49988e-01 1.88000e+01 2.51866e+01
1.49988e-01 1.90000e+01 2.50200e+01
1.49988e-01 1.92000e+01 2.47828e+01
1.49988e-01 1.94000e+01 2.44385e+01
1.49988e-01 1.96000e+01 2.39368e+01
1.49988e-01 1.98000e+01 2.32160e+01
1.49988e-01 2.00000e+01 2.22236e+01
1.80011e-01 1.20000e+01 2.57282e+01
1.80011e-01 1.22000e+01 2.57282e+01
1.80011e-01 1.24000e+01 2.57282e+01
1.80011e-01 1.26000e+01 2.57282e+01
1.80011e-01 1.28000e+01 2.57282e+01
1.80011e-01 1.30000e+01 2.57282e+01
1.80011e-01 1.32000e+01 2.57282e+01
1.80011e-01 1.34000e+01 2.57282e+01
1.80011e-01 1.36000e+01 2.57282e+01
1.80011e-01 1.38000e+01 2.57282e+01
1.80011e-01 1.40000e+01 2.57282e+01
1.80011e-01 1.42000e+01 2.57282e+01
