# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
9.00110e-02 1.32000e+01 2.55149e+01
9.00110e-02 1.34000e+01 2.55149e+01
9.00110e-02 1.36000e+01 2.55149e+01
9.00110e-02 1.38000e+01 2.55149e+01
9.00110e-02 1.40000e+01 2.55149e+01
9.00110e-02 1.42000e+01 2.55149e+01
9.00110e-02 1.44000e+01 2.55149e+01
9.00110e-02 1.46000e+01 2.55149e+01
9.00110e-02 1.48000e+01 2.55149e+01
9.00110e-02 1.50000e+01 2.55149e+01
9.00110e-02 1.52000e+01 2.55148e+01
9.00110e-02 1.54000e+01 2.55147e+01
9.00110e-02 1.56000e+01 2.55146e+01
9.00110e-02 1.58000e+01 2.55144e+01
9.00110e-02 1.60000e+01 2.55141e+01
9.00110e-02 1.62000e+01 2.55137e+01
9.00110e-02 1.64000e+01 2.55130e+01
9.00110e-02 1.66000e+01 2.55119e+01
9.00110e-02 1.68000e+01 2.55088e+01
9.00110e-02 1.70000e+01 2.55070e+01
9.00110e-02 1.72000e+01 2.55032e+01
9.00110e-02 1.74000e+01 2.54971e+01
9.00110e-02 1.76000e+01 2.54884e+01
9.00110e-02 1.78000e+01 2.54759e+01
9.00110e-02 1.80000e+01 2.54561e+01
9.00110e-02 1.82000e+01 2.54196e+01
9.00110e-02 1.84000e+01 2.53851e+01
9.00110e-02 1.86000e+01 2.53295e+01
9.00110e-02 1.88000e+01 2.52478e+01
9.00110e-02 1.90000e+01 2.51394e+01
9.00110e-02 1.92000e+01 2.49866e+01
9.00110e-02 1.94000e+01 2.47683e+01
9.00110e-02 1.96000e+01 2.44561e+01
9.00110e-02 1.98000e+01 2.40079e+01
9.00110e-02 2.00000e+01 2.33645e+01
1.20014e-01 1.20000e+01 2.56707e+01
1.20014e-01 1.22000e+01 2.56707e+01
1.20014e-01 1.24000e+01 2.56707e+01
1.20014e-01 1.26000e+01 2.56707e+01
1.20014e-01 1.28000e+01 2.56707e+01
1.20014e-01 1.30000e+01 2.56707e+01
1.20014e-01 1.32000e+01 2.56707e+01
1.20014e-01 1.34000e+01 2.56707e+01
1.20014e-01 1.36000e+01 2.56707e+01
1.20014e-01 1.38000e+01 2.56707e+01
1.20014e-01 1.40000e+01 2.56707e+01
1.20014e-01 1.42000e+01 2.56707e+01
1.20014e-01 1.44000e+01 2.56707e+01
1.20014e-01 1.46000e+01 2.56707e+01
1.20014e-01 1.48000e+01 2.56707e+01
1.20014e-01 1.50000e+01 2.56706e+01
1.20014e-01 1.52000e+01 2.56706e+01
1.20014e-01 1.54000e+01 2.56705e+01
1.20014e-01 1.56000e+01 2.56704e+01
1.20014e-01 1.58000e+01 2.56701e+01
1.20014e-01 1.60000e+01 2.56699e+01
1.20014e-01 1.62000e+01 2.56694e+01
1.20014e-01 1.64000e+01 2.56687e+01
1.20014e-01 1.66000e+01 2.56672e+01
1.20014e-01 1.68000e+01 2.56652e+01
1.20014e-01 1.70000e+01 2.56618e+01
1.20014e-01 1.72000e+01 2.56566e+01
1.20014e-01 1.74000e+01 2.56491e+01
1.20014e-01 1.76000e+01 2.56387e+01
1.20014e-01 1.78000e+01 2.56237e+01
1.20014e-01 1.80000e+01 2.55993e+01
1.20014e-01 1.82000e+01 2.55643e+01
1.20014e-01 1.84000e+01 2.55169e+01
1.20014e-01 1.86000e+01 2.54513e+01
1.20014e-01 1.88000e+01 2.53561e+01
1.20014e-01 1.90000e+01 2.52228e+01
1.20014e-01 1.92000e+01 2.50410e+01
1.20014e-01 1.94000e+01 2.47803e+01
1.20014e-01 1.96000e+01 2.44030e+01
1.20014e-01 1.98000e+01 2.38635e+01
1.20014e-01 2.00000e+01 2.30887e+01
1.49988e-01 1.20000e+01 2.58132e+01
1.49988e-01 1.22000e+01 2.58132e+01
1.49988e-01 1.24000e+01 2.58132e+01
1.49988e-01 1.26000e+01 2.58132e+01
1.49988e-01 1.28000e+01 2.58132e+01
1.49988e-01 1.30000e+01 2.58132e+01
1.49988e-01 1.32000e+01 2.58132e+01
1.49988e-01 1.34000e+01 2.58132e+01
1.49988e-01 1.36000e+01 2.58132e+01
1.49988e-01 1.38000e+01 2.58132e+01
1.49988e-01 1.40000e+01 2.58132e+01
1.49988e-01 1.42000e+01 2.58132e+01
1.49988e-01 1.44000e+01 2.58131e+01
1.49988e-01 1.46000e+01 2.58131e+01
1.49988e-01 1.48000e+01 2.58131e+01
1.49988e-01 1.50000e+01 2.58131e+01
1.49988e-01 1.52000e+01 2.58130e+01
1.49988e-01 1.54000e+01 2.58129e+01
1.49988e-01 1.56000e+01 2.58127e+01
1.49988e-01 1.58000e+01 2.58124e+01
1.49988e-01 1.60000e+01 2.58120e+01
1.49988e-01 1.62000e+01 2.58114e+01
1.49988e-01 1.64000e+01 2.58115e+01
1.49988e-01 1.66000e+01 2.58113e+01
1.49988e-01 1.68000e+01 2.58088e+01
1.49988e-01 1.70000e+01 2.58051e+01
1.49988e-01 1.72000e+01 2.57984e+01
1.49988e-01 1.74000e+01 2.57879e+01
1.49988e-01 1.76000e+01 2.57752e+01
1.49988e-01 1.78000e+01 2.57547e+01
1.49988e-01 1.80000e+01 2.57283e+01
1.49988e-01 1.82000e+01 2.56890e+01
1.49988e-01 1.84000e+01 2.56340e+01
1.49988e-01 1.86000e+01 2.55594e+01
1.49988e-01 1.88000e+01 2.54522e+01
1.49988e-01 1.90000e+01 2.52991e+01
1.49988e-01 1.92000e+01 2.50800e+01
1.49988e-01 1.94000e+01 2.47725e+01
1.49988e-01 1.96000e+01 2.43286e+01
1.49988e-01 1.98000e+01 2.36917e+01
1.49988e-01 2.00000e+01 2.28035e+01
1.80011e-01 1.20000e+01 2.59526e+01
1.80011e-01 1.22000e+01 2.59526e+01
1.80011e-01 1.24000e+01 2.59526e+01
1.80011e-01 1.26000e+01 2.59526e+01
1.80011e-01 1.28000e+01 2.59526e+01
1.80011e-01 1.30000e+01 2.59526e+01
1.80011e-01 1.32000e+01 2.59526e+01
1.80011e-01 1.34000e+01 2.59526e+01
1.80011e-01 1.36000e+01 2.59526e+01
1.80011e-01 1.38000e+01 2.59526e+01
1.80011e-01 1.40000e+01 2.59525e+01
1.80011e-01 1.42000e+01 2.59525e+01
1.80011e-01 1.44000e+01 2.59525e+01
1.80011e-01 1.46000e+01 2.59525e+01
1.80011e-01 1.48000e+01 2.59525e+01
1.80011e-01 1.50000e+01 2.59524e+01
1.80011e-01 1.52000e+01 2.59524e+01
1.80011e-01 1.54000e+01 2.59522e+01
1.80011e-01 1.56000e+01 2.59520e+01
1.80011e-01 1.58000e+01 2.59518e+01
1.80011e-01 1.60000e+01 2.59513e+01
1.80011e-01 1.62000e+01 2.59507e+01
1.80011e-01 1.64000e+01 2.59496e+01
1.80011e-01 1.66000e+01 2.59477e+01
1.80011e-01 1.68000e+01 2.59452e+01
1.80011e-01 1.70000e+01 2.59399e+01
1.80011e-01 1.72000e+01 2.59341e+01
1.80011e-01 1.74000e+01 2.59248e+01
1.80011e-01 1.76000e+01 2.59096e+01
1.80011e-01 1.78000e+01 2.58845e+01
