# LS220 with Mdot = 1e-6
# eps       mAp [MeV]   r [cm]      t_stop [s]  efficiency
1.50000e-14 1.37712e+00 1.65039e+14 4.88041e+03 3.42810e-03
1.50000e-14 1.37712e+00 1.91608e+14 5.66609e+03 2.95275e-03
1.50000e-14 1.37712e+00 2.22454e+14 6.57825e+03 2.54331e-03
1.50000e-14 1.37712e+00 2.58266e+14 7.63726e+03 2.19065e-03
1.50000e-14 1.37712e+00 2.99844e+14 8.86673e+03 1.88688e-03
1.50000e-14 1.37712e+00 3.48114e+14 1.02941e+04 1.62524e-03
1.50000e-14 1.37712e+00 4.04156e+14 1.19513e+04 1.39987e-03
1.50000e-14 1.37712e+00 4.69219e+14 1.38752e+04 1.20576e-03
1.50000e-14 1.37712e+00 5.44757e+14 1.61089e+04 1.03857e-03
1.50000e-14 1.37712e+00 6.32456e+14 1.87022e+04 8.94555e-04
1.50000e-14 1.37712e+00 7.34272e+14 2.17130e+04 7.70512e-04
1.50000e-14 1.37712e+00 8.52480e+14 2.52085e+04 6.63668e-04
1.50000e-14 1.37712e+00 9.89717e+14 2.92667e+04 5.71639e-04
1.50000e-14 1.37712e+00 1.14905e+15 3.39782e+04 4.92372e-04
1.50000e-14 1.37712e+00 1.33403e+15 3.94482e+04 4.24098e-04
1.50000e-14 1.37712e+00 1.54879e+15 4.57988e+04 3.65291e-04
1.50000e-14 1.37712e+00 1.79812e+15 5.31717e+04 3.14639e-04
1.50000e-14 1.37712e+00 2.08760e+15 6.17314e+04 2.71008e-04
1.50000e-14 1.37712e+00 2.42367e+15 7.16691e+04 2.33427e-04
1.50000e-14 1.37712e+00 2.81385e+15 8.32065e+04 2.01058e-04
1.50000e-14 1.37712e+00 3.26684e+15 9.66015e+04 1.73178e-04
1.50000e-14 1.37712e+00 3.79275e+15 1.12153e+05 1.49164e-04
1.50000e-14 1.37712e+00 4.40334e+15 1.30208e+05 1.28480e-04
1.50000e-14 1.37712e+00 5.11221e+15 1.51169e+05 1.10664e-04
1.50000e-14 1.37712e+00 5.93521e+15 1.75504e+05 9.53177e-05
1.50000e-14 1.37712e+00 6.89069e+15 2.03757e+05 8.20998e-05
1.50000e-14 1.37712e+00 8.00000e+15 2.36567e+05 7.07180e-05
1.50000e-14 1.56121e+00 5.00000e+13 1.47774e+03 1.10245e-02
1.50000e-14 1.56121e+00 5.80493e+13 1.71564e+03 9.49582e-03
1.50000e-14 1.56121e+00 6.73944e+13 1.99184e+03 8.17910e-03
1.50000e-14 1.56121e+00 7.82440e+13 2.31249e+03 7.04496e-03
1.50000e-14 1.56121e+00 9.08402e+13 2.68477e+03 6.06808e-03
1.50000e-14 1.56121e+00 1.05464e+14 3.11698e+03 5.22666e-03
1.50000e-14 1.56121e+00 1.22443e+14 3.61878e+03 4.50192e-03
1.50000e-14 1.56121e+00 1.42154e+14 4.20135e+03 3.87767e-03
1.50000e-14 1.56121e+00 1.65039e+14 4.87771e+03 3.33998e-03
1.50000e-14 1.56121e+00 1.91608e+14 5.66294e+03 2.87684e-03
1.50000e-14 1.56121e+00 2.22454e+14 6.57459e+03 2.47792e-03
1.50000e-14 1.56121e+00 2.58266e+14 7.63299e+03 2.13432e-03
1.50000e-14 1.56121e+00 2.99844e+14 8.86178e+03 1.83836e-03
1.50000e-14 1.56121e+00 3.48114e+14 1.02884e+04 1.58345e-03
1.50000e-14 1.56121e+00 4.04156e+14 1.19447e+04 1.36388e-03
1.50000e-14 1.56121e+00 4.69219e+14 1.38676e+04 1.17476e-03
1.50000e-14 1.56121e+00 5.44757e+14 1.61001e+04 1.01187e-03
1.50000e-14 1.56121e+00 6.32456e+14 1.86920e+04 8.71557e-04
1.50000e-14 1.56121e+00 7.34272e+14 2.17012e+04 7.50704e-04
1.50000e-14 1.56121e+00 8.52480e+14 2.51948e+04 6.46607e-04
1.50000e-14 1.56121e+00 9.89717e+14 2.92507e+04 5.56945e-04
1.50000e-14 1.56121e+00 1.14905e+15 3.39597e+04 4.79717e-04
1.50000e-14 1.56121e+00 1.33403e+15 3.94267e+04 4.13196e-04
1.50000e-14 1.56121e+00 1.54879e+15 4.57738e+04 3.55900e-04
1.50000e-14 1.56121e+00 1.79812e+15 5.31427e+04 3.06548e-04
1.50000e-14 1.56121e+00 2.08760e+15 6.16975e+04 2.64039e-04
1.50000e-14 1.56121e+00 2.42367e+15 7.16294e+04 2.27424e-04
1.50000e-14 1.56121e+00 2.81385e+15 8.31602e+04 1.95887e-04
1.50000e-14 1.56121e+00 3.26684e+15 9.65517e+04 1.68731e-04
1.50000e-14 1.56121e+00 3.79275e+15 1.12100e+05 1.45340e-04
1.50000e-14 1.56121e+00 4.40334e+15 1.30152e+05 1.25191e-04
1.50000e-14 1.56121e+00 5.11221e+15 1.51109e+05 1.07835e-04
1.50000e-14 1.56121e+00 5.93521e+15 1.75441e+05 9.28846e-05
1.50000e-14 1.56121e+00 6.89069e+15 2.03691e+05 8.00070e-05
1.50000e-14 1.56121e+00 8.00000e+15 2.36481e+05 6.89119e-05
1.50000e-14 1.76991e+00 5.00000e+13 1.47750e+03 1.08046e-02
1.50000e-14 1.76991e+00 5.80493e+13 1.71536e+03 9.30640e-03
1.50000e-14 1.76991e+00 6.73944e+13 1.99151e+03 8.01594e-03
1.50000e-14 1.76991e+00 7.82440e+13 2.31212e+03 6.90443e-03
1.50000e-14 1.76991e+00 9.08402e+13 2.68434e+03 5.94704e-03
1.50000e-14 1.76991e+00 1.05464e+14 3.11648e+03 5.12240e-03
1.50000e-14 1.76991e+00 1.22443e+14 3.61819e+03 4.41210e-03
1.50000e-14 1.76991e+00 1.42154e+14 4.20067e+03 3.80030e-03
1.50000e-14 1.76991e+00 1.65039e+14 4.87691e+03 3.27333e-03
1.50000e-14 1.76991e+00 1.91608e+14 5.66203e+03 2.81944e-03
1.50000e-14 1.76991e+00 2.22454e+14 6.57353e+03 2.42848e-03
1.50000e-14 1.76991e+00 2.58266e+14 7.63178e+03 2.09173e-03
1.50000e-14 1.76991e+00 2.99844e+14 8.86039e+03 1.80169e-03
1.50000e-14 1.76991e+00 3.48114e+14 1.02868e+04 1.55186e-03
1.50000e-14 1.76991e+00 4.04156e+14 1.19428e+04 1.33668e-03
1.50000e-14 1.76991e+00 4.69219e+14 1.38654e+04 1.15133e-03
1.50000e-14 1.76991e+00 5.44757e+14 1.60976e+04 9.91679e-04
1.50000e-14 1.76991e+00 6.32456e+14 1.86891e+04 8.54168e-04
1.50000e-14 1.76991e+00 7.34272e+14 2.16977e+04 7.35725e-04
1.50000e-14 1.76991e+00 8.52480e+14 2.51907e+04 6.33703e-04
1.50000e-14 1.76991e+00 9.89717e+14 2.92461e+04 5.45832e-04
1.50000e-14 1.76991e+00 1.14905e+15 3.39542e+04 4.70143e-04
1.50000e-14 1.76991e+00 1.33403e+15 3.94204e+04 4.04949e-04
1.50000e-14 1.76991e+00 1.54879e+15 4.57665e+04 3.48795e-04
1.50000e-14 1.76991e+00 1.79812e+15 5.31342e+04 3.00430e-04
1.50000e-14 1.76991e+00 2.08760e+15 6.16878e+04 2.58770e-04
1.50000e-14 1.76991e+00 2.42367e+15 7.16184e+04 2.22887e-04
1.50000e-14 1.76991e+00 2.81385e+15 8.31477e+04 1.91979e-04
1.50000e-14 1.76991e+00 3.26684e+15 9.65352e+04 1.65361e-04
1.50000e-14 1.76991e+00 3.79275e+15 1.12078e+05 1.42434e-04
1.50000e-14 1.76991e+00 4.40334e+15 1.30124e+05 1.22686e-04
1.50000e-14 1.76991e+00 5.11221e+15 1.51071e+05 1.05672e-04
1.50000e-14 1.76991e+00 5.93521e+15 1.75390e+05 9.10175e-05
1.50000e-14 1.76991e+00 6.89069e+15 2.03624e+05 7.83951e-05
1.50000e-14 1.76991e+00 8.00000e+15 2.36403e+05 6.75232e-05
1.50000e-14 2.00651e+00 5.00000e+13 1.47757e+03 1.06907e-02
1.50000e-14 2.00651e+00 5.80493e+13 1.71544e+03 9.20826e-03
1.50000e-14 2.00651e+00 6.73944e+13 1.99160e+03 7.93141e-03
1.50000e-14 2.00651e+00 7.82440e+13 2.31223e+03 6.83164e-03
1.50000e-14 2.00651e+00 9.08402e+13 2.68448e+03 5.88438e-03
1.50000e-14 2.00651e+00 1.05464e+14 3.11666e+03 5.06846e-03
1.50000e-14 2.00651e+00 1.22443e+14 3.61840e+03 4.36564e-03
1.50000e-14 2.00651e+00 1.42154e+14 4.20091e+03 3.76026e-03
1.50000e-14 2.00651e+00 1.65039e+14 4.87719e+03 3.23882e-03
1.50000e-14 2.00651e+00 1.91608e+14 5.66235e+03 2.78970e-03
1.50000e-14 2.00651e+00 2.22454e+14 6.57391e+03 2.40287e-03
1.50000e-14 2.00651e+00 2.58266e+14 7.63222e+03 2.06968e-03
1.50000e-14 2.00651e+00 2.99844e+14 8.86090e+03 1.78269e-03
1.50000e-14 2.00651e+00 3.48114e+14 1.02874e+04 1.53550e-03
1.50000e-14 2.00651e+00 4.04156e+14 1.19435e+04 1.32258e-03
1.50000e-14 2.00651e+00 4.69219e+14 1.38662e+04 1.13919e-03
1.50000e-14 2.00651e+00 5.44757e+14 1.60985e+04 9.81220e-04
1.50000e-14 2.00651e+00 6.32456e+14 1.86901e+04 8.45158e-04
1.50000e-14 2.00651e+00 7.34272e+14 2.16990e+04 7.27963e-04
1.50000e-14 2.00651e+00 8.52480e+14 2.51921e+04 6.27015e-04
1.50000e-14 2.00651e+00 9.89717e+14 2.92477e+04 5.40067e-04
1.50000e-14 2.00651e+00 1.14905e+15 3.39561e+04 4.65176e-04
1.50000e-14 2.00651e+00 1.33403e+15 3.94225e+04 4.00671e-04
1.50000e-14 2.00651e+00 1.54879e+15 4.57690e+04 3.45110e-04
1.50000e-14 2.00651e+00 1.79812e+15 5.31371e+04 2.97255e-04
1.50000e-14 2.00651e+00 2.08760e+15 6.16914e+04 2.56034e-04
1.50000e-14 2.00651e+00 2.42367e+15 7.16227e+04 2.20530e-04
1.50000e-14 2.00651e+00 2.81385e+15 8.31529e+04 1.89949e-04
1.50000e-14 2.00651e+00 3.26684e+15 9.65387e+04 1.63606e-04
1.50000e-14 2.00651e+00 3.79275e+15 1.12079e+05 1.40916e-04
1.50000e-14 2.00651e+00 4.40334e+15 1.30122e+05 1.21373e-04
1.50000e-14 2.00651e+00 5.11221e+15 1.51068e+05 1.04540e-04
1.50000e-14 2.00651e+00 5.93521e+15 1.75387e+05 9.00408e-05
1.50000e-14 2.00651e+00 6.89069e+15 2.03620e+05 7.75527e-05
1.50000e-14 2.00651e+00 8.00000e+15 2.36412e+05 6.68001e-05
1.50000e-14 2.27474e+00 5.00000e+13 1.47709e+03 1.04047e-02
1.50000e-14 2.27474e+00 5.80493e+13 1.71488e+03 8.96187e-03
1.50000e-14 2.27474e+00 6.73944e+13 1.99095e+03 7.71915e-03
1.50000e-14 2.27474e+00 7.82440e+13 2.31147e+03 6.64881e-03
1.50000e-14 2.27474e+00 9.08402e+13 2.68361e+03 5.72690e-03
1.50000e-14 2.27474e+00 1.05464e+14 3.11566e+03 4.93283e-03
1.50000e-14 2.27474e+00 1.22443e+14 3.61724e+03 4.24884e-03
1.50000e-14 2.27474e+00 1.42154e+14 4.19957e+03 3.65968e-03
1.50000e-14 2.27474e+00 1.65039e+14 4.87564e+03 3.15221e-03
1.50000e-14 2.27474e+00 1.91608e+14 5.66055e+03 2.71512e-03
1.50000e-14 2.27474e+00 2.22454e+14 6.57182e+03 2.33863e-03
1.50000e-14 2.27474e+00 2.58266e+14 7.62980e+03 2.01435e-03
1.50000e-14 2.27474e+00 2.99844e+14 8.85809e+03 1.73503e-03
1.50000e-14 2.27474e+00 3.48114e+14 1.02841e+04 1.49444e-03
1.50000e-14 2.27474e+00 4.04156e+14 1.19397e+04 1.28722e-03
1.50000e-14 2.27474e+00 4.69219e+14 1.38618e+04 1.10872e-03
1.50000e-14 2.27474e+00 5.44757e+14 1.60932e+04 9.54971e-04
1.50000e-14 2.27474e+00 6.32456e+14 1.86838e+04 8.22540e-04
1.50000e-14 2.27474e+00 7.34272e+14 2.16914e+04 7.08477e-04
1.50000e-14 2.27474e+00 8.52480e+14 2.51834e+04 6.10237e-04
1.50000e-14 2.27474e+00 9.89717e+14 2.92376e+04 5.25619e-04
1.50000e-14 2.27474e+00 1.14905e+15 3.39444e+04 4.52734e-04
1.50000e-14 2.27474e+00 1.33403e+15 3.94089e+04 3.89953e-04
1.50000e-14 2.27474e+00 1.54879e+15 4.57530e+04 3.35877e-04
1.50000e-14 2.27474e+00 1.79812e+15 5.31184e+04 2.89300e-04
1.50000e-14 2.27474e+00 2.08760e+15 6.16693e+04 2.49181e-04
1.50000e-14 2.27474e+00 2.42367e+15 7.15967e+04 2.14626e-04
1.50000e-14 2.27474e+00 2.81385e+15 8.31221e+04 1.84863e-04
1.50000e-14 2.27474e+00 3.26684e+15 9.65030e+04 1.59227e-04
1.50000e-14 2.27474e+00 3.79275e+15 1.12038e+05 1.37146e-04
1.50000e-14 2.27474e+00 4.40334e+15 1.30074e+05 1.18127e-04
1.50000e-14 2.27474e+00 5.11221e+15 1.51012e+05 1.01745e-04
1.50000e-14 2.27474e+00 5.93521e+15 1.75321e+05 8.76350e-05
1.50000e-14 2.27474e+00 6.89069e+15 2.03543e+05 7.54818e-05
1.50000e-14 2.27474e+00 8.00000e+15 2.36306e+05 6.50123e-05
1.50000e-14 2.57883e+00 5.00000e+13 1.47732e+03 1.02761e-02
1.50000e-14 2.57883e+00 5.80493e+13 1.71514e+03 8.85114e-03
1.50000e-14 2.57883e+00 6.73944e+13 1.99126e+03 7.62380e-03
