# LS220 with Mdot = 1e-5
# eps       mAp [MeV]   r [cm]      t_stop [s]  efficiency
1.50000e-14 1.07150e+00 5.00000e+13 1.47754e+03 1.19287e-01
1.50000e-14 1.07150e+00 5.80493e+13 1.71541e+03 1.02746e-01
1.50000e-14 1.07150e+00 6.73944e+13 1.99156e+03 8.84990e-02
1.50000e-14 1.07150e+00 7.82440e+13 2.31218e+03 7.62274e-02
1.50000e-14 1.07150e+00 9.08402e+13 2.68440e+03 6.56575e-02
1.50000e-14 1.07150e+00 1.05464e+14 3.11656e+03 5.65532e-02
1.50000e-14 1.07150e+00 1.22443e+14 3.61828e+03 4.87113e-02
1.50000e-14 1.07150e+00 1.42154e+14 4.20077e+03 4.19569e-02
1.50000e-14 1.07150e+00 1.65039e+14 4.87704e+03 3.61390e-02
1.50000e-14 1.07150e+00 1.91608e+14 5.66217e+03 3.11278e-02
1.50000e-14 1.07150e+00 2.22454e+14 6.57371e+03 2.68115e-02
1.50000e-14 1.07150e+00 2.58266e+14 7.63198e+03 2.30938e-02
1.50000e-14 1.07150e+00 2.99844e+14 8.86063e+03 1.98915e-02
1.50000e-14 1.07150e+00 3.48114e+14 1.02871e+04 1.71333e-02
1.50000e-14 1.07150e+00 4.04156e+14 1.19431e+04 1.47575e-02
1.50000e-14 1.07150e+00 4.69219e+14 1.38658e+04 1.27112e-02
1.50000e-14 1.07150e+00 5.44757e+14 1.60980e+04 1.09486e-02
1.50000e-14 1.07150e+00 6.32456e+14 1.86896e+04 9.43045e-03
1.50000e-14 1.07150e+00 7.34272e+14 2.16984e+04 8.12279e-03
1.50000e-14 1.07150e+00 8.52480e+14 2.51915e+04 6.99646e-03
1.50000e-14 1.07150e+00 9.89717e+14 2.92470e+04 6.02631e-03
1.50000e-14 1.07150e+00 1.14905e+15 3.39553e+04 5.19068e-03
1.50000e-14 1.07150e+00 1.33403e+15 3.94217e+04 4.47092e-03
1.50000e-14 1.07150e+00 1.54879e+15 4.57680e+04 3.85097e-03
1.50000e-14 1.07150e+00 1.79812e+15 5.31360e+04 3.31698e-03
1.50000e-14 1.07150e+00 2.08760e+15 6.16902e+04 2.85704e-03
1.50000e-14 1.07150e+00 2.42367e+15 7.16215e+04 2.46087e-03
1.50000e-14 1.07150e+00 2.81385e+15 8.31515e+04 2.11964e-03
1.50000e-14 1.07150e+00 3.26684e+15 9.65376e+04 1.82571e-03
1.50000e-14 1.07150e+00 3.79275e+15 1.12079e+05 1.57254e-03
