# mAp[MeV],  epsilon,  log10(r[cm]),  T: dQ/dr/dt[erg/cm/s],   L: dQ/dr/dt[erg/cm/s]
1.0 1e-13 12.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 12.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 12.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 12.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 12.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 13.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 13.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 13.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 13.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 13.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 14.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 14.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 14.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 14.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 14.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 15.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 15.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 15.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 15.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 15.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 16.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 16.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 16.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 16.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 16.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 17.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 17.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 17.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 17.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 17.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 18.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 18.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 18.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 18.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 18.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 19.0 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 19.2 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 19.4 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 19.6 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 19.8 4.188790204782328e-273 4.188790204782328e-273
1.0 1e-13 20.0 4.188790204782328e-273 4.188790204782328e-273
1.0715 1e-13 12.0 2.1885112353698803e+23 1.3964173273936264e+24
1.0715 1e-13 12.2 2.1885109691058175e+23 1.396417282391332e+24
1.0715 1e-13 12.4 2.188510547106175e+23 1.396417211067526e+24
1.0715 1e-13 12.6 2.1885098782829536e+23 1.3964170980269644e+24
1.0715 1e-13 12.8 2.1885088182724524e+23 1.396416918869884e+24
1.0715 1e-13 13.0 2.1885071382762303e+23 1.3964166349253887e+24
1.0715 1e-13 13.2 2.1885044756797512e+23 1.3964161849045507e+24
1.0715 1e-13 13.4 2.188500255794146e+23 1.3964154716717398e+24
1.0715 1e-13 13.6 2.1884935678402127e+23 1.3964143412793208e+24
1.0715 1e-13 13.8 2.1884829684336493e+23 1.396412549741628e+24
1.0715 1e-13 14.0 2.188466170223656e+23 1.396409710379737e+24
1.0715 1e-13 14.2 2.188439548651554e+23 1.3964052103795297e+24
1.0715 1e-13 14.4 2.188397360795336e+23 1.3963980785726098e+24
1.0715 1e-13 14.6 2.1883305087531934e+23 1.396386775950764e+24
1.0715 1e-13 14.8 2.1882245832442595e+23 1.3963688638190386e+24
1.0715 1e-13 15.0 2.1880567714071537e+23 1.3963404782526346e+24
1.0715 1e-13 15.2 2.1877909761945883e+23 1.3962954981137224e+24
1.0715 1e-13 15.4 2.187370128418776e+23 1.396224228654047e+24
1.0715 1e-13 15.6 2.186704111206074e+23 1.3961113202474508e+24
1.0715 1e-13 15.8 2.185650871505133e+23 1.3959324815127152e+24
1.0715 1e-13 16.0 2.1839870579471588e+23 1.395643710785119e+24
1.0715 1e-13 16.2 2.1813628012977488e+23 1.3951950403263458e+24
1.0715 1e-13 16.4 2.1772330274820026e+23 1.3944853438116058e+24
1.0715 1e-13 16.6 2.1707552416588824e+23 1.3933638668665315e+24
1.0715 1e-13 16.8 2.160642090547894e+23 1.3915944554724194e+24
1.0715 1e-13 17.0 2.1449588592733786e+23 1.3888100182091554e+24
1.0715 1e-13 17.2 2.1208669786402098e+23 1.3844485633345522e+24
1.0715 1e-13 17.4 2.0843442151573934e+23 1.3777020960189847e+24
1.0715 1e-13 17.6 2.0299720590139328e+23 1.367488070507438e+24
1.0715 1e-13 17.8 1.950973031559411e+23 1.3521693540203505e+24
1.0715 1e-13 18.0 1.8397735793115133e+23 1.3302048725410136e+24
1.0715 1e-13 18.2 1.6893844987207896e+23 1.3077172099767724e+24
1.0715 1e-13 18.4 4.172514366374948e+21 1.2594283839370355e+24
1.0715 1e-13 18.6 3.8534717828917205e+21 1.1853127796352459e+24
